,Qe,T_db,Patm,RH,Qfrac,Qheat_kW,Welec_kW,makeup_water_kg_per_s
5147,100.0,25.0,101.2,0.58,1,145,84.61,0.094
5148,100.0,25.0,101.1,0.58,1,145,84.61,0.09402
5149,100.0,24.4,101.1,0.58,1,145,84.61,0.09328
5150,100.0,25.0,101.1,0.56,1,145,84.61,0.0951
5151,100.0,23.9,101.0,0.64,1,145,84.61,0.08963
5152,100.0,23.3,101.0,0.64,1,145,84.61,0.08892
5153,100.0,22.8,101.0,0.64,1,145,84.61,0.08833
5154,100.0,22.2,101.0,0.68,1,145,84.61,0.08573
5155,100.0,21.1,101.0,0.78,1,145,84.61,0.08009
5156,100.0,20.6,101.0,0.78,1,145,84.61,0.07955
5157,100.0,20.6,101.0,0.73,1,145,84.61,0.08166
5158,100.0,20.0,101.0,0.76,1,145,84.61,0.07971
5159,100.0,19.4,101.0,0.79,1,145,84.61,0.07783
5160,100.0,19.4,101.0,0.81,1,145,84.61,0.07703
5161,100.0,20.0,101.0,0.81,1,145,84.61,0.07768
5162,100.0,19.4,101.0,0.84,1,145,84.61,0.07586
5163,100.0,18.9,101.0,0.87,1,145,84.61,0.07419
5164,100.0,18.9,101.0,0.87,1,145,84.61,0.07419
5165,100.0,18.9,101.1,0.87,1,145,84.61,0.07417
5166,100.0,20.0,101.1,0.81,1,145,84.61,0.07766
5167,100.0,21.1,101.2,0.76,1,145,84.61,0.0809
5168,100.0,23.9,101.2,0.64,1,145,84.61,0.08959
5169,100.0,25.6,101.1,0.6,1,145,84.61,0.09366
5170,100.0,23.3,101.1,0.71,1,145,84.61,0.08555
5171,100.0,22.2,101.1,0.71,1,145,84.61,0.08434
5172,100.0,22.2,101.1,0.71,1,145,84.61,0.08434
5173,100.0,22.2,101.0,0.73,1,145,84.61,0.08346
5174,100.0,21.7,101.0,0.76,1,145,84.61,0.08159
5175,100.0,20.6,100.9,0.81,1,145,84.61,0.07833
5176,100.0,20.0,100.9,0.81,1,145,84.61,0.0777
5177,100.0,20.0,100.9,0.78,1,145,84.61,0.07891
5178,100.0,19.4,100.9,0.81,1,145,84.61,0.07705
5179,100.0,19.4,100.9,0.79,1,145,84.61,0.07785
5180,100.0,19.4,101.0,0.84,1,145,84.61,0.07586
5181,100.0,18.9,101.0,0.84,1,145,84.61,0.07533
5182,100.0,18.9,101.0,0.87,1,145,84.61,0.07419
5183,100.0,18.9,101.0,0.84,1,145,84.61,0.07533
5184,100.0,18.9,101.0,0.84,1,145,84.61,0.07533
5185,100.0,20.0,100.9,0.78,1,145,84.61,0.07891
5186,100.0,19.4,100.9,0.81,1,145,84.61,0.07705
5187,100.0,19.4,100.9,0.81,1,145,84.61,0.07705
5188,100.0,19.4,101.0,0.81,1,145,84.61,0.07703
